,NL111,NL112,NL113,NL124_1,NL126,NL131_2,NL211_1,NL213,NL221_2,NL225,NL230,NL310,NL321_2,NL323_3,NL332_3,NL333,NL33A,NL341_1,NL411_1,NL413,NL414,NL421_2
2019-11-01 09:00:00,361.74145122106205,410.44655446914976,762.2438197208543,938.1094328952834,494.4495343858658,1324.897770280194,1180.9071093770754,804.6882268864434,2358.3720174130854,613.1759207383753,632.8067869287132,1462.9218398914195,3081.6596734251525,1941.9709974560542,3766.868989671596,699.8094462002238,719.5002365979057,1039.1980504526398,1627.0060819907299,905.941415436913,1068.695407014735,1998.188365145047
2019-11-01 10:00:00,362.88759766655886,411.7470188142872,764.6589232198479,941.081751351934,496.01615489452183,1329.0955940709912,1184.6487112347163,807.2378118119914,2365.844314811664,615.11871551527,634.8117804042366,1467.5569809878339,3091.423645093328,1948.1239643015156,3778.803987689078,702.026731796276,721.7799107572457,1042.490659435307,1632.161109791334,908.8118123174099,1072.0814758159026,2004.5194518491378
2019-11-01 11:00:00,360.0883553862107,408.57088474058617,758.7604973665366,933.8224351212676,492.18998557530404,1318.8432167357744,1175.5105682362466,801.0109409361338,2347.594665395904,610.373812887085,629.9149694159388,1456.2365402331295,3067.5770219806677,1933.096526044331,3749.655050223304,696.6114381289943,716.2122450219343,1034.4490951891773,1619.5709457398584,901.8014199361959,1063.8116539361276,1989.0569900910698
2019-11-01 12:00:00,357.6858561062268,405.8449114017404,753.6980688782613,927.5919983563647,488.9061079706209,1310.043932251218,1167.6675951115756,795.6666186883502,2331.931580464267,606.3014161432096,625.7121946307067,1446.5205713964147,3047.110235214683,1920.1989609259597,3724.6374582251196,691.9636663988076,711.4336972648558,1027.5472802062784,1608.7652143885916,895.7846264751538,1056.7139327952182,1975.7860583459558
2019-11-01 13:00:00,356.42950327173975,404.41940240803194,751.0507438889796,924.3338800481126,487.1888508745938,1305.4424715574587,1163.5662238445454,792.8718813661147,2323.740792931209,604.1718141762287,623.514413320998,1441.439743656114,3036.4074201168737,1913.4543626530494,3711.554864244417,689.5331802646732,708.9348236671174,1023.9380742060465,1603.1145108379287,892.6382298946086,1053.0022804554762,1968.8462133049325
2019-11-01 14:00:00,355.6800998266072,403.56909879774975,749.4716377550222,922.3904410572255,486.1645220804725,1302.6977406173219,1161.1197918607031,791.204845068641,2318.855060016753,602.9015252836438,622.2034560485403,1438.409074477689,3030.023284795374,1909.4312689464016,3703.7512116945245,688.0834166057159,707.4442674860104,1021.7852144866102,1599.7439157375338,890.7614319342836,1050.7883123931745,1964.706656613796
2019-11-01 15:00:00,358.6336310515415,406.92029537945007,755.6951736947367,930.0498770801336,490.20158262200954,1313.5152096166848,1170.761612032317,797.774929299861,2338.110595620784,607.9079579779493,627.3701700046972,1450.353476533834,3055.1842887095204,1925.286991202014,3734.506783508806,693.7971910263124,713.3188124350793,1030.27001455733,1613.0280258390908,898.1582238955647,1059.513951226953,1981.021380043569
2019-11-01 16:00:00,367.45014217074856,416.92386726512285,774.2728929177653,952.9138652082177,502.2525096116725,1345.8061618535896,1199.5431647834037,817.3871210348465,2395.5898063790855,622.8525331848316,642.7931967394942,1486.0084080447145,3130.291763080107,1972.6175053978725,3826.3144605663647,710.8532340728693,730.854767506927,1055.597775962464,1652.6820858437397,920.2381998993892,1085.5606343128595,2029.7220469981162
2019-11-01 17:00:00,353.7404673803817,401.3683129829018,745.384539525956,917.360363669047,483.51331814274675,1295.593731125203,1154.7878502554643,786.8901628869443,2306.209633649927,599.6137187381298,618.810390166885,1430.5649895452955,3013.4996404338453,1899.018555823313,3683.5535227418623,684.3310871354735,703.5863573702039,1016.2131069774808,1591.020022536511,885.9038372134423,1045.058042114275,1953.992509883796
2019-11-01 18:00:00,340.4716181459752,386.31293729496446,717.4250720952983,882.9500615362808,465.3766730233042,1246.9958480086616,1111.4716133650793,757.3738143257916,2219.7034214586843,577.1221330517722,595.5987349310159,1376.9043176214207,2900.462891506113,1827.7861319585468,3545.3829687702378,658.6617423504056,677.1947449870734,978.0948260627545,1531.3406622295151,852.6734733276867,1005.8577840699861,1880.6980061172032
2019-11-01 19:00:00,322.55205929618705,365.98067743733475,679.6658577744931,836.4790056659502,440.8831639168145,1181.3644875871532,1052.973107398496,717.5120346244341,2102.876925592438,546.7472839437842,564.2514330925413,1304.4356693255565,2747.8069498478967,1731.5868618554655,3358.783865150752,623.995334858279,641.5529163035432,926.61615100682,1450.743785270067,807.7959220999137,952.9179006978816,1781.7139005320873
2019-11-01 20:00:00,302.1638773330209,342.84741745171664,636.7048820712399,783.606033119756,413.01539525321914,1106.6916605393112,986.4157666616087,672.1588412372807,1969.956250713867,512.187953777869,528.5856837683236,1221.9836402066455,2574.1209153659156,1622.1350477775434,3146.4786119551486,584.5532353131164,601.0010201998956,868.045702757448,1359.0437715093171,756.7359775910697,892.6849460617232,1669.093608199698
2019-11-01 21:00:00,284.508813816809,322.81526475065715,599.5029993271257,737.8208968932681,388.8834139564194,1042.0290286849101,928.7807072775583,632.885427287973,1854.8541311703698,482.2614419260876,497.70107273189313,1150.584639856108,2423.7181979388174,1527.3556931003382,2962.63373864739,550.3985091123866,565.885270168521,817.3268605436677,1279.6365163500086,712.5208256434117,840.526463182196,1571.570522623219
2019-11-01 22:00:00,269.1460431915908,305.3840407398725,567.1313235809988,697.9803975800819,367.8846736769319,985.7620444121038,878.6288516087902,598.7111831897612,1754.6966064240303,456.22051962809536,470.8264486465097,1088.455921698399,2292.843423848071,1444.8822721140555,2802.6588613745953,520.6783541037614,535.3288684558265,773.193236295222,1210.5393167919085,674.0464674567477,795.1401179050042,1486.7096104549214
2019-11-01 23:00:00,253.9816440665548,288.1778970965155,535.1776465173899,658.6543379997776,347.15707925471185,930.2216065646279,829.1245808769216,564.9782134055866,1655.8323639197527,430.51585027225804,444.2988426626591,1027.1294394996848,2163.6585679306622,1363.4737876971797,2644.749656835596,491.34196006368376,505.16702573224876,729.6294866783919,1142.334333583913,636.0689087301698,750.3398229972454,1402.944463293101
2019-11-02 00:00:00,242.52017961158575,275.1732536451411,511.0266115274531,628.9311534332685,331.4908741681502,888.243368656652,791.7085623005092,539.4823641501058,1581.1093899339617,411.0879025033112,424.2489079074233,980.7780285355404,2066.0188512489003,1301.9441192425643,2525.3996766607706,469.16910410315995,482.3702841388469,696.703396851718,1090.7840555778698,607.3649399251982,716.4791349855673,1339.6335962521905
