,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2019-04-03 15:00:00,1409.7101549809931,1316.117725363464,1217.2074445701176,1824.2021984024702,2730.014611957576,581.3709927681659,1344.012643302634,4615.299979012116,4764.635755757893,954.7299661665188,3308.8942062626243,1835.7716408516346
2019-04-03 16:00:00,1389.8893198002017,1297.612820351058,1200.093239884558,1798.553513824852,2691.6300053960285,573.1967885987236,1325.1155296018674,4550.4078450719,4697.6439279146325,941.3062526217977,3262.370425142603,1809.9602873657248
2019-04-03 17:00:00,1384.0926604548756,1292.201008507807,1195.0881422878374,1791.0524834295104,2680.4043185714245,570.8062194548299,1319.5890152176805,4531.4299568441,4678.051978262357,937.3804496040018,3248.764413682973,1802.4116839877695
2019-04-03 18:00:00,1398.8647923348997,1305.992399979317,1207.843068421415,1810.168012501509,2709.0117140276725,576.8983150150748,1333.6727131644784,4579.792962327846,4727.979849956863,947.3849153590298,3283.4377977252534,1821.6484474348156
2019-04-03 19:00:00,1348.4712538327933,1258.9445518581533,1164.3310102821858,1744.9574418065274,2611.420662439588,556.115786489936,1285.627692953567,4414.807772734563,4557.656287657253,913.2557568656119,3165.153278745577,1756.024298713564
2019-04-03 20:00:00,1256.1921768354305,1172.7919988051133,1084.653085637624,1625.5458772871457,2432.7149705704987,518.059468021825,1197.64914945047,4112.692035946861,4245.765089160567,850.7595055984443,2948.554354380197,1635.8554030032203
2019-04-03 21:00:00,1176.9088361122654,1098.77237875549,1016.1962668953863,1522.9511389766737,2279.1765443243107,485.3626513440557,1122.0606946474036,3853.1235001859995,3977.7977777875276,797.0646514195606,2762.459229900113,1532.6099890595815
2019-04-03 22:00:00,1093.9792096718793,1021.3485544818866,944.5910803100503,1415.6380105788098,2118.576798946517,451.1620895596437,1042.9958840220263,3581.617260539909,3697.506498084831,740.9003405036764,2567.8054853083268,1424.6162600878743
2019-04-03 23:00:00,1037.228044791029,968.3651707907061,895.5895602905479,1342.2005033211965,2008.6737037443522,427.7576464895896,988.8895254542657,3395.8176128903306,3505.6949910053095,702.465462571386,2434.598244082607,1350.71299798435
2019-04-04 00:00:00,1013.8544183985863,946.5433488421143,875.4077151424824,1311.9544130174015,1963.4088375161123,418.1182547803415,966.6051932599654,3319.2938700363025,3426.6951940203326,686.6356116931772,2379.7352946486194,1320.2750811377582
2019-04-04 01:00:00,1008.5252315811094,941.5679734378353,870.8062544487235,1305.0583044281364,1953.088448016074,415.920473470633,961.524365519665,3301.8464566655844,3408.683240307758,683.0264056929457,2367.2265421776706,1313.3352360967353
2019-04-04 02:00:00,1021.6144623608773,953.7881937290467,882.1080877316401,1321.9961149982614,1978.436773103888,421.3185328278119,974.0035915484731,3344.6997526638397,3452.9231266193447,691.8911221847426,2397.9497938607033,1330.3804695308268
2019-04-04 03:00:00,1072.0080008629832,1000.8360418502103,925.6201458708689,1387.206685693243,2076.027824691972,442.1010613529505,1022.0486117593842,3509.684942257123,3623.2466889189536,726.0202806781602,2516.234312840379,1396.0046182520782
2019-04-04 04:00:00,1197.3841328320452,1117.8882947824566,1033.8755632450918,1549.4467140827983,2318.8285671402487,493.806758481357,1141.5817696496108,3920.1582989261283,4047.0015999463676,810.9316007888716,2810.519173604286,1559.273604217196
2019-04-04 05:00:00,1355.576836256096,1265.5783857305253,1170.4662912071979,1754.152253258881,2625.1811817729726,559.0461615695474,1292.4021299406345,4438.070990562187,4581.672225940687,918.0680315325874,3181.8316153735095,1765.2774254349279
2019-04-04 06:00:00,1445.799034130924,1349.810618452089,1248.36821347873,1870.9021618315287,2799.9035654139766,596.2542135672446,1378.419652210633,4733.452637978733,4886.611442302695,979.1712559224726,3393.602600188699,1882.7677844627715
2019-04-04 07:00:00,1471.136045140332,1373.465473444363,1270.2453336192332,1903.6889237208425,2848.970680405389,606.7033141800697,1402.5758683092547,4816.4043752325,4972.24722223441,996.330814274451,3453.0740373751414,1915.762486324477
2019-04-04 08:00:00,1454.5875176544823,1358.0156235047596,1255.9565872544026,1882.2746917857555,2816.9231551157945,599.878624849922,1386.7985611156898,4762.2255652918475,4916.315365969046,985.123279852679,3414.231069175878,1894.21244119709
2019-04-04 09:00:00,1430.1854517007725,1335.23364139043,1234.8867409198224,1850.6977735085939,2769.666634773513,589.815099905467,1363.5337183048407,4682.334777752243,4833.839577916731,968.5969155358293,3356.9541499667957,1862.4352560092484
2019-04-04 10:00:00,1367.0766604411776,1276.3147221292322,1180.395759020046,1769.033329688348,2647.4514959572666,563.7887422904975,1303.36602138023,4475.720672046368,4620.540126057294,925.856318164666,3208.824186495031,1780.2528805234508
2019-04-04 11:00:00,1363.0563967016774,1272.5613687540745,1176.9244816545786,1763.8310021560953,2639.6659389660094,562.1307669165068,1299.5331162428104,4462.558588275476,4606.9521609758785,923.1335838136141,3199.387759192385,1775.017558825837
2019-04-04 12:00:00,1378.9504626485384,1287.4002076791169,1190.6481363552632,1784.3983435626758,2670.446048001212,568.6855532787954,1314.6864621349346,4514.594733416215,4660.6720229256625,933.897882410796,3236.6945648074966,1795.7153422815195
2019-04-04 13:00:00,1379.3244406708177,1287.7493568302946,1190.9710458776324,1784.8822810075367,2671.170285860864,568.8397835461434,1315.0430114500434,4515.819113301879,4661.936019677422,934.1511600248474,3237.5723719984403,1796.202348951065
2019-04-04 14:00:00,1394.8445285953994,1302.2390466041593,1204.3717910559476,1804.9656849692562,2701.226157036415,575.2403396410841,1329.8398080270588,4566.630878556954,4714.3918848754465,944.6621810079779,3274.0013704226076,1816.4131257372019
2019-04-04 15:00:00,1435.6081330238192,1340.2963040825032,1239.5689289941736,1857.7148664590743,2780.1680837384647,592.0514387820126,1368.7036833739182,4700.0882860943775,4852.167530817245,972.2694409395738,3369.682354235481,1869.4968527176577
2019-04-04 16:00:00,1408.4947264085858,1314.9829906221369,1216.1579886224179,1822.6294017066723,2727.660838913707,580.8697443992849,1342.85385802853,4611.3207443837055,4760.527766314673,953.9068139208517,3306.041332892056,1834.1888691756112
2019-04-04 17:00:00,1390.169803316911,1297.874682214441,1200.3354220263345,1798.9164669084971,2692.173183790767,573.3124612992344,1325.3829415881987,4551.326129986148,4698.591925478451,941.4962108323361,3263.0287805358103,1810.3255423678834
2019-04-04 18:00:00,1408.4947264085858,1314.9829906221369,1216.1579886224179,1822.6294017066723,2727.660838913707,580.8697443992849,1342.85385802853,4611.3207443837055,4760.527766314673,953.9068139208517,3306.041332892056,1834.1888691756112
2019-04-04 19:00:00,1365.019781318643,1274.3944017977565,1178.6197566470164,1766.3716737416144,2643.468187729182,562.9404758200837,1301.405000147132,4468.986582675215,4613.588143922618,924.4632912873839,3203.996246944841,1777.5743438409513
